#group,false,false,false
#datatype,string,long,dateTime:RFC3339
#default,,,
,id,p_count,time
,robo,0,2026-02-24T15:41:53.180469708Z
,robo,1,2026-02-24T15:46:53.856508602Z
,robo,0,2026-02-24T15:51:54.380615Z
,robo,0,2026-02-24T15:56:55.053478106Z
,robo,0,2026-02-24T16:01:55.588097159Z
,robo,2,2026-02-24T16:06:56.273517279Z
,robo,0,2026-02-24T16:11:56.783354265Z
,robo,2,2026-02-24T16:16:57.346376349Z
,robo,0,2026-02-24T16:21:57.995722112Z
,robo,1,2026-02-24T16:26:58.547283644Z
,robo,0,2026-02-24T16:31:59.184889626Z
,robo,0,2026-02-24T16:36:59.832410242Z
,robo,0,2026-02-24T16:42:00.386313025Z
,robo,0,2026-02-24T16:47:00.949984471Z
,robo,0,2026-02-24T16:52:01.475785434Z
,robo,0,2026-02-24T16:57:01.952071965Z
,robo,0,2026-02-24T17:02:03.186816447Z
,robo,0,2026-02-24T17:07:03.829558622Z
,robo,0,2026-02-24T17:12:04.37360364Z
,robo,0,2026-02-24T17:17:04.949204468Z
,robo,0,2026-02-24T17:22:05.510813252Z
,robo,0,2026-02-24T17:27:06.031415007Z
,robo,0,2026-02-24T17:32:06.673369312Z
,robo,0,2026-02-24T17:37:07.231422923Z
,robo,0,2026-02-24T17:42:07.798583536Z
,robo,0,2026-02-24T17:47:08.415665202Z
,robo,0,2026-02-24T17:52:08.969111269Z
,robo,0,2026-02-24T17:57:09.510446615Z
,robo,0,2026-02-24T18:02:10.194050393Z
,robo,0,2026-02-24T18:07:10.711022589Z
,robo,0,2026-02-24T18:12:11.359384474Z
,robo,0,2026-02-24T18:17:11.914228336Z
,robo,0,2026-02-24T18:22:12.588331872Z
,robo,0,2026-02-24T18:27:13.109568963Z
,robo,0,2026-02-24T18:32:13.749511745Z
,robo,0,2026-02-24T18:37:14.308725444Z
,robo,0,2026-02-24T18:42:14.995522882Z
,robo,0,2026-02-24T18:47:15.388268026Z
,robo,0,2026-02-24T18:52:16.001138706Z
,robo,0,2026-02-24T18:57:16.709062475Z
,robo,0,2026-02-24T19:02:17.255628114Z
,robo,0,2026-02-24T19:07:17.812897691Z
,robo,0,2026-02-24T19:12:18.473779795Z
,robo,0,2026-02-24T19:17:18.988799133Z
,robo,0,2026-02-24T19:22:19.553177348Z
,robo,0,2026-02-24T19:27:20.187611904Z
,robo,0,2026-02-24T19:32:21.35663135Z
,robo,0,2026-02-24T19:37:21.91461102Z
,robo,0,2026-02-24T19:42:22.472546555Z
,robo,0,2026-02-24T19:47:23.106183739Z
,robo,0,2026-02-24T19:52:23.666540034Z
,robo,0,2026-02-24T19:57:24.307756094Z
,robo,0,2026-02-24T20:02:24.868339596Z
,robo,0,2026-02-24T20:07:25.511557863Z
,robo,0,2026-02-24T20:12:26.150046863Z
,robo,0,2026-02-24T20:17:26.59580084Z
,robo,0,2026-02-24T20:22:27.351394569Z
,robo,0,2026-02-24T20:27:27.909178234Z
,robo,0,2026-02-24T20:32:28.548977008Z
,robo,0,2026-02-24T20:37:29.10862597Z
,robo,0,2026-02-24T20:42:29.760775741Z
,robo,0,2026-02-24T20:47:30.305928175Z
,robo,0,2026-02-24T20:52:30.928671438Z
,robo,0,2026-02-24T20:57:31.586791176Z
,robo,0,2026-02-24T21:02:32.151222264Z
,robo,0,2026-02-24T21:07:32.787422242Z
,robo,0,2026-02-24T21:12:33.355485796Z
,robo,0,2026-02-24T21:17:33.985826211Z
,robo,0,2026-02-24T21:22:34.626571888Z
,robo,0,2026-02-24T21:27:35.186355529Z
,robo,0,2026-02-24T21:32:35.825331878Z
,robo,0,2026-02-24T21:37:36.38805621Z
,robo,0,2026-02-24T21:42:37.026910758Z
,robo,0,2026-02-24T21:47:37.566231414Z
,robo,0,2026-02-24T21:52:38.228358496Z
,robo,0,2026-02-24T21:57:38.78115654Z
,robo,0,2026-02-24T22:02:39.949526132Z
,robo,0,2026-02-24T22:07:40.506031231Z
,robo,0,2026-02-24T22:12:41.022387473Z
,robo,0,2026-02-24T22:17:41.707790495Z
,robo,0,2026-02-24T22:22:42.325616839Z
,robo,0,2026-02-24T22:27:42.911503071Z
,robo,0,2026-02-24T22:32:43.519713416Z
,robo,0,2026-02-24T22:37:44.188073585Z
,robo,0,2026-02-24T22:42:44.746407427Z
,robo,0,2026-02-24T22:47:45.315144588Z
,robo,0,2026-02-24T22:52:45.916802172Z
,robo,0,2026-02-24T22:57:46.465636035Z
,robo,0,2026-02-24T23:02:47.116827176Z
,robo,0,2026-02-24T23:07:47.668136227Z
,robo,0,2026-02-24T23:12:48.354198Z
,robo,0,2026-02-24T23:17:48.866371159Z
,robo,0,2026-02-24T23:22:49.422666767Z
,robo,0,2026-02-24T23:27:50.064361542Z
,robo,0,2026-02-24T23:32:50.718582538Z
,robo,0,2026-02-24T23:37:51.275972489Z
,robo,0,2026-02-24T23:42:51.912842797Z
,robo,0,2026-02-24T23:47:52.462594177Z
,robo,0,2026-02-24T23:52:53.114076579Z
,robo,0,2026-02-24T23:57:53.657534123Z
,robo,0,2026-02-25T00:02:54.317510248Z
,robo,0,2026-02-25T00:07:54.956950157Z
,robo,0,2026-02-25T00:12:55.517813942Z
,robo,0,2026-02-25T00:17:56.162690756Z
,robo,0,2026-02-25T00:22:56.698584572Z
,robo,0,2026-02-25T00:27:57.358572667Z
,robo,0,2026-02-25T00:32:58.418947327Z
,robo,0,2026-02-25T00:37:59.050544154Z
,robo,0,2026-02-25T00:42:59.714742964Z
,robo,0,2026-02-25T00:48:00.154118746Z
,robo,0,2026-02-25T00:53:00.917921788Z
,robo,0,2026-02-25T00:58:01.554544084Z
,robo,0,2026-02-25T01:03:02.120578604Z
,robo,0,2026-02-25T01:08:02.655200773Z
,robo,0,2026-02-25T01:13:03.195721226Z
,robo,0,2026-02-25T01:18:03.852940262Z
,robo,0,2026-02-25T01:23:04.501271737Z
,robo,0,2026-02-25T01:28:05.053932276Z
,robo,0,2026-02-25T01:33:05.593949009Z
,robo,0,2026-02-25T01:38:06.254294772Z
,robo,0,2026-02-25T01:43:06.898501713Z
,robo,0,2026-02-25T01:48:07.553577162Z
,robo,0,2026-02-25T01:53:08.197537586Z
,robo,0,2026-02-25T01:58:08.744762215Z
,robo,0,2026-02-25T02:03:09.394272895Z
,robo,0,2026-02-25T02:08:09.953722916Z
,robo,0,2026-02-25T02:13:10.584597409Z
,robo,0,2026-02-25T02:18:11.25345964Z
,robo,0,2026-02-25T02:23:11.792625671Z
,robo,0,2026-02-25T02:28:12.433465226Z
,robo,0,2026-02-25T02:33:12.99462838Z
,robo,0,2026-02-25T02:38:13.638485962Z
,robo,0,2026-02-25T02:43:14.145373358Z
,robo,0,2026-02-25T02:48:14.840712746Z
,robo,0,2026-02-25T02:53:15.498906273Z
,robo,0,2026-02-25T02:58:16.138735493Z
,robo,0,2026-02-25T03:03:17.294761814Z
,robo,0,2026-02-25T03:08:17.857686627Z
,robo,0,2026-02-25T03:13:18.484547744Z
,robo,0,2026-02-25T03:18:19.154055245Z
,robo,0,2026-02-25T03:23:19.692436779Z
,robo,0,2026-02-25T03:28:20.255671491Z
,robo,0,2026-02-25T03:33:20.895332274Z
,robo,0,2026-02-25T03:38:21.556230405Z
,robo,0,2026-02-25T03:43:22.104895765Z
,robo,0,2026-02-25T03:48:22.938820198Z
,robo,0,2026-02-25T03:53:23.586992399Z
,robo,0,2026-02-25T03:58:24.147554978Z
,robo,0,2026-02-25T04:03:24.794907429Z
,robo,0,2026-02-25T04:08:25.342388957Z
,robo,0,2026-02-25T04:13:25.987874032Z
,robo,0,2026-02-25T04:18:26.637511531Z
,robo,0,2026-02-25T04:23:27.287365744Z
,robo,0,2026-02-25T04:28:27.948322463Z
,robo,0,2026-02-25T04:33:28.488501434Z
,robo,0,2026-02-25T04:38:29.102390858Z
,robo,0,2026-02-25T04:43:29.788788769Z
,robo,0,2026-02-25T04:48:30.34779419Z
,robo,0,2026-02-25T04:53:30.985598294Z
,robo,0,2026-02-25T04:58:31.520729208Z
,robo,0,2026-02-25T05:03:32.189349675Z
,robo,0,2026-02-25T05:08:32.731677675Z
,robo,0,2026-02-25T05:13:33.286448647Z
,robo,0,2026-02-25T05:18:33.92741264Z
,robo,0,2026-02-25T05:23:34.478611484Z
,robo,0,2026-02-25T05:28:35.128254782Z
,robo,0,2026-02-25T05:33:36.185487307Z
,robo,0,2026-02-25T05:38:36.835821117Z
,robo,0,2026-02-25T05:43:37.38602802Z
,robo,0,2026-02-25T05:48:38.029918279Z
,robo,0,2026-02-25T05:53:38.597543455Z
,robo,0,2026-02-25T05:58:39.125326438Z
,robo,0,2026-02-25T06:03:39.787530664Z
,robo,0,2026-02-25T06:08:40.317412877Z
,robo,0,2026-02-25T06:13:40.872281169Z
,robo,0,2026-02-25T06:18:41.525924438Z
,robo,0,2026-02-25T06:23:42.067712461Z
,robo,0,2026-02-25T06:28:42.625754714Z
,robo,0,2026-02-25T06:33:43.267318945Z
,robo,1,2026-02-25T06:38:43.821404456Z
,robo,0,2026-02-25T06:43:44.293185367Z
,robo,0,2026-02-25T06:48:45.026960753Z
,robo,0,2026-02-25T06:53:45.569022432Z
,robo,1,2026-02-25T06:58:46.108236183Z
,robo,2,2026-02-25T07:03:46.756434054Z
,robo,1,2026-02-25T07:08:47.316119293Z
,robo,1,2026-02-25T07:13:47.850301539Z
,robo,3,2026-02-25T07:18:48.40528192Z
,robo,2,2026-02-25T07:23:49.061447576Z
,robo,2,2026-02-25T07:28:49.60573351Z
,robo,0,2026-02-25T07:33:50.147152312Z
,robo,0,2026-02-25T07:38:50.79585099Z
,robo,1,2026-02-25T07:43:51.346817819Z
,robo,1,2026-02-25T07:48:51.930663843Z
,robo,1,2026-02-25T07:53:52.566713661Z
,robo,0,2026-02-25T07:58:53.085692113Z
,robo,0,2026-02-25T08:03:54.176637367Z
,robo,0,2026-02-25T08:08:54.803910767Z
,robo,0,2026-02-25T08:13:55.347521416Z
,robo,0,2026-02-25T08:18:55.9158927Z
,robo,0,2026-02-25T08:23:56.576452873Z
,robo,0,2026-02-25T08:28:57.406566208Z
,robo,0,2026-02-25T08:33:57.941110347Z
,robo,0,2026-02-25T08:38:58.589869079Z
,robo,0,2026-02-25T08:43:59.168241866Z
,robo,0,2026-02-25T08:48:59.686293921Z
,robo,3,2026-02-25T08:54:00.23683532Z
,robo,1,2026-02-25T08:59:00.789758552Z
,robo,1,2026-02-25T09:04:01.428871186Z
,robo,0,2026-02-25T09:09:02.00078024Z
,robo,0,2026-02-25T09:14:02.626749334Z
,robo,0,2026-02-25T09:19:03.195309637Z
,robo,7,2026-02-25T09:24:03.742003218Z
,robo,0,2026-02-25T09:29:04.280572501Z
,robo,0,2026-02-25T09:34:04.933543234Z
,robo,0,2026-02-25T09:39:05.479340822Z
,robo,1,2026-02-25T09:44:06.024948097Z
,robo,1,2026-02-25T09:49:06.663963745Z
,robo,2,2026-02-25T09:54:07.224306478Z
,robo,0,2026-02-25T09:59:07.764256484Z
,robo,0,2026-02-25T10:04:08.423035359Z
,robo,0,2026-02-25T10:09:08.982548253Z
,robo,0,2026-02-25T10:14:09.614923182Z
,robo,0,2026-02-25T10:19:10.273469694Z
,robo,0,2026-02-25T10:24:10.811524717Z
,robo,0,2026-02-25T10:29:11.474072312Z
,robo,1,2026-02-25T10:34:12.625429158Z
,robo,0,2026-02-25T10:39:13.187178308Z
,robo,0,2026-02-25T10:44:13.721315015Z
,robo,0,2026-02-25T10:49:14.37876166Z
,robo,0,2026-02-25T10:54:14.930182012Z
,robo,1,2026-02-25T10:59:15.476330574Z
,robo,0,2026-02-25T11:04:16.117880345Z
,robo,0,2026-02-25T11:09:16.677256218Z
,robo,1,2026-02-25T11:14:17.225647286Z
,robo,2,2026-02-25T11:19:17.867225891Z
,robo,2,2026-02-25T11:24:18.516848196Z
,robo,0,2026-02-25T11:29:19.166954206Z
,robo,2,2026-02-25T11:34:19.616180088Z
,robo,2,2026-02-25T11:39:20.281812712Z
,robo,1,2026-02-25T11:44:20.928101118Z
,robo,2,2026-02-25T11:49:21.561040129Z
,robo,3,2026-02-25T11:54:22.220131404Z
,robo,0,2026-02-25T11:59:22.857872246Z
,robo,2,2026-02-25T12:04:23.328232839Z
,robo,3,2026-02-25T12:09:23.976121594Z
,robo,4,2026-02-25T12:14:24.519933371Z
,robo,1,2026-02-25T12:19:25.058595038Z
,robo,0,2026-02-25T12:24:25.695473171Z
,robo,0,2026-02-25T12:29:26.242584033Z
,robo,0,2026-02-25T12:34:26.913837037Z
,robo,0,2026-02-25T12:39:27.449980391Z
,robo,2,2026-02-25T12:44:27.999091062Z
,robo,2,2026-02-25T12:49:28.651758916Z
,robo,0,2026-02-25T12:54:29.291493405Z
,robo,1,2026-02-25T12:59:29.949560076Z
,robo,0,2026-02-25T13:04:30.906239597Z
,robo,1,2026-02-25T13:09:31.448713194Z
,robo,1,2026-02-25T13:14:32.107952719Z
,robo,2,2026-02-25T13:19:32.748518602Z
,robo,1,2026-02-25T13:24:33.293059403Z
,robo,0,2026-02-25T13:29:33.853860195Z
,robo,0,2026-02-25T13:34:34.498789857Z
,robo,4,2026-02-25T13:39:35.046387119Z
,robo,2,2026-02-25T13:44:35.592844796Z
,robo,0,2026-02-25T13:49:36.137733295Z
,robo,3,2026-02-25T13:54:36.784847047Z
,robo,0,2026-02-25T13:59:37.327085824Z
,robo,1,2026-02-25T14:04:38.088019082Z
,robo,0,2026-02-25T14:09:38.538297983Z
,robo,0,2026-02-25T14:14:39.085355093Z
,robo,0,2026-02-25T14:19:39.8387635Z
,robo,0,2026-02-25T14:24:40.276388048Z
,robo,0,2026-02-25T14:29:40.926791331Z
,robo,0,2026-02-25T14:34:41.572060008Z
,robo,0,2026-02-25T14:39:42.221082347Z
,robo,0,2026-02-25T14:44:42.871869107Z
,robo,1,2026-02-25T14:49:43.450667724Z
,robo,1,2026-02-25T14:54:43.984808766Z
,robo,0,2026-02-25T14:59:44.628127202Z
,robo,0,2026-02-25T15:04:45.294192488Z
,robo,1,2026-02-25T15:09:45.820389026Z
,robo,0,2026-02-25T15:14:46.583870696Z
,robo,0,2026-02-25T15:19:47.233462103Z
,robo,2,2026-02-25T15:24:47.765196775Z
,robo,1,2026-02-25T15:29:48.437459582Z
,robo,0,2026-02-25T15:34:49.595976864Z
,robo,0,2026-02-25T15:39:50.259590971Z
,robo,1,2026-02-25T15:44:50.786121405Z
,robo,0,2026-02-25T15:49:51.530778686Z
,robo,0,2026-02-25T15:54:52.191061537Z
,robo,0,2026-02-25T15:59:52.526137102Z
,robo,2,2026-02-25T16:04:53.279530731Z
,robo,0,2026-02-25T16:09:53.834124848Z
,robo,0,2026-02-25T16:14:54.593533744Z
,robo,2,2026-02-25T16:19:55.03739431Z
,robo,0,2026-02-25T16:24:55.683498965Z
,robo,0,2026-02-25T16:29:56.326298356Z
,robo,0,2026-02-25T16:34:56.972233849Z
,robo,2,2026-02-25T16:39:57.413485338Z
,robo,4,2026-02-25T16:44:58.008582495Z
,robo,3,2026-02-25T16:49:58.721659747Z
,robo,1,2026-02-25T16:54:59.174139133Z
,robo,1,2026-02-25T16:59:59.809943165Z
,robo,0,2026-02-25T17:05:00.469285387Z
,robo,0,2026-02-25T17:10:00.916999573Z
,robo,0,2026-02-25T17:15:01.567234055Z
,robo,0,2026-02-25T17:20:02.218236425Z
,robo,0,2026-02-25T17:25:02.655358873Z
,robo,0,2026-02-25T17:30:03.310723409Z
,robo,1,2026-02-25T17:35:03.709879028Z
,robo,0,2026-02-25T17:40:04.506854787Z
,robo,0,2026-02-25T17:45:05.056730095Z
,robo,0,2026-02-25T17:50:05.607804805Z
,robo,0,2026-02-25T17:55:06.257140494Z
,robo,0,2026-02-25T18:00:07.007360873Z
,robo,0,2026-02-25T18:05:08.155872601Z
,robo,0,2026-02-25T18:10:08.628614261Z
,robo,0,2026-02-25T18:15:09.163233778Z
,robo,0,2026-02-25T18:20:09.807441614Z
,robo,0,2026-02-25T18:25:10.360181749Z
,robo,0,2026-02-25T18:30:10.995861612Z
,robo,0,2026-02-25T18:35:11.656802634Z
,robo,0,2026-02-25T18:40:12.324841833Z
,robo,0,2026-02-25T18:45:12.756877546Z
,robo,0,2026-02-25T18:50:13.403566259Z
,robo,0,2026-02-25T18:55:14.059735877Z
,robo,0,2026-02-25T19:00:14.706842589Z
,robo,0,2026-02-25T19:05:15.163625422Z
,robo,0,2026-02-25T19:10:15.790101089Z
,robo,0,2026-02-25T19:15:16.34720398Z
,robo,0,2026-02-25T19:20:16.9997807Z
,robo,0,2026-02-25T19:25:17.534296285Z
,robo,0,2026-02-25T19:30:18.191280897Z
,robo,0,2026-02-25T19:35:18.832973935Z
,robo,0,2026-02-25T19:40:19.279756383Z
,robo,0,2026-02-25T19:45:19.927109537Z
,robo,0,2026-02-25T19:50:20.606392324Z
,robo,0,2026-02-25T19:55:21.228868392Z
,robo,0,2026-02-25T20:00:21.79011144Z
,robo,0,2026-02-25T20:05:22.33056298Z
,robo,0,2026-02-25T20:10:22.981587611Z
